Longitude,Latitude,Pixel,Scan
27.3654419,60.9078395,1100,1900
27.3973319,60.9073082,1200,1900
27.4292202,60.9067694,1300,1900
27.4611068,60.906223,1400,1900
27.4929918,60.9056692,1500,1900
27.5248754,60.9051078,1600,1900
27.5567577,60.9045389,1700,1900
27.5886387,60.9039625,1800,1900
27.6205186,60.9033786,1900,1900
27.6523976,60.9027871,2000,1900
27.6842757,60.9021882,2100,1900
27.716153,60.9015817,2200,1900
27.7480298,60.9009676,2300,1900
27.779906,60.9003461,2400,1900
27.8117818,60.899717,2500,1900
27.8436573,60.8990803,2600,1900
27.8755327,60.8984362,2700,1900
27.907408,60.8977844,2800,1900
27.9392834,60.8971252,2900,1900
27.971159,60.8964584,3000,1900
28.0030349,60.895784,3100,1900
28.0349112,60.8951021,3200,1900
28.066788,60.8944126,3300,1900
28.0986656,60.8937155,3400,1900
